Sample Name,Sample SubType,Class,SiO2 (wt%),TiO2 (vol%),Al2O3 (wt%),FeO (vol%),MgO (wt%),MnO (wt%),CaO (wt%),Na2O (wt%),K2O (wt%),P2O5 (wt%),Cr2O3 (vol%),Fe (wt%),Cr (wt%),Mn (wt%),Mg (wt%),Ca (wt%),Al (wt%),Na (wt%),Ti (wt%),La (ppm),Sm (ppm),Eu (ppm),Yb (ppm),Lu (ppm),Ba (ppm),He3 (ccstp/g),He4 (ccstp/g),Ne20 (ccstp/g),Ne21 (ccstp/g),Ne22 (ccstp/g),Ar36 (ccstp/g),Ar38 (ccstp/g),Ar40 (ccstp/g),FeTOT (wt%),FeS (wt%),Fe/Mg,MnO/MgO,FeO/MgO,Al2O3/CaO,La/Lu,Eu/Sm,He3/He4,Ne21/Ne22,Ar40/Ar36,Total REE,major_oxides_mean,iron_related_mean,ree_mean,he_group_mean,ne_group_mean,ar_group_mean,lithophile_mean,siderophile_mean,all_noble_gases_mean,elemental_weight_mean,Fe_Oxidation_Index,Mg_Si_Ratio,Mafic_Index,Eu_Anomaly,Silica_Saturation_Index,Mg_Number,Volatile_Depletion_Index,Refractory_Volatile_Ratio,Metal_Silicate_Proxy
ALLAN HILLS A76009,L6,L,37.585,0.0745,2.375,16.4,24.745,0.255,1.805,0.84,0.095,0.25,0.43,31.19833333,0.28048,0.191733333,14.97,1.23,1.2378,0.59,0.049666667,0.282,0.177,0.0775,0.208,0.0325,4.945,2.29E-07,7.50E-06,6.40E-08,6.60E-08,7.11E-08,1.27E-08,7.03E-09,5.85E-05,22.245,6.63,2.084057003,0.010305112,0.662760154,1.315789474,8.676923077,0.437853107,0.030466667,0.928001876,4602.362205,0.777,8.49375,20.02444444,0.1554,3.86E-06,6.70E-08,1.95E-05,4.50695,10.55684889,8.30E-06,6.218501667,0.525669106,0.658374351,1.029654655,0.403908878,0.913476729,0.601409649,0.024876946,4.470588231,0.830074054
AUMALE,L6,L,39.94,0.12,2.31,13.51,24.92,0.3,1.87,0.98,0.11,0.26,0.5,21.65,0.342,0.249,15.03,1.34,1.223,0.73,0.07025,0.609,0.246,0.107,0.273,0.0455,7.54,3.63E-07,0.555110209,7.30E-08,7.27E-08,8.10E-08,1.55E-08,1.15E-08,1.52E-05,21.65,5.81,1.440452428,0.012038523,0.542134831,1.235294118,13.38461538,0.43495935,6.54E-07,0.897530864,977.4193548,1.2805,8.83625,16.37,0.2561,0.277555286,7.56E-08,5.06E-06,4.58075,7.413666667,0.069390747,5.07928125,0.624018476,0.623935904,0.909585799,0.412890508,1.03929222,0.64845173,0.027290936,3.834862382,0.542063095
NIKOLSKOE,L4,L,39.55,0.092,2.56,14.355,24.495,0.24,1.87,1.2,0.17,0.37,0.38,22.69333333,0.331,0.2235,14.71333333,1.35,1.316333333,0.802,0.055,64.658,40.3608,15.6624,43.172,6.2248,3.865626894,6.22E-07,1.46E-05,1.05E-07,1.13E-07,1.21E-07,3.50E-08,1.81E-08,4.55E-05,23.29,6.525,1.542365202,0.009797918,0.586037967,1.368983957,10.38716103,0.388059701,0.042749141,0.932091097,1301.239276,170.078,8.806875,17.50277778,34.0156,7.59E-06,1.13E-07,1.52E-05,4.545416667,7.749277778,7.63E-06,5.1855625,0.63256463,0.619342604,0.922583709,0.37521254,1.018018018,0.63050193,0.034639697,3.23357664,0.573788453
ALLENDE,CV3,Carbonaceous,33.67095238,0.22525,3.2035,28.7035,24.399,0.1885,2.7115,0.408947368,0.038411765,0.2432,0.491176471,23.75546138,0.357731655,0.146593253,14.60560388,1.839301667,1.723204074,0.345869643,0.087850045,0.498883088,0.714951948,0.116337209,0.314135246,0.047186061,4.780121212,5.59158734,12327.66691,56.94956629,0.959462379,7.615242835,198.1249485,66.17114966,722.0595463,22.75588235,5.056,1.626462116,0.007725726,1.176421165,1.181449382,10.57267934,0.162720319,0.00045358,0.427861287,3.644465535,1.691493552,8.108001439,17.18911458,0.33829871,6166.629251,21.84142384,328.7852148,4.628494815,8.08659543,1673.142302,5.357701949,1.208290571,0.724630528,1.440089183,0.245483259,0.634074712,0.459469893,0.013286204,13.22203918,0.705517952
MURRAY,CM2,Carbonaceous,23.70166667,0.06,2.35,32.60333333,13.74,0.166666667,1.078333333,0.376,0.043333333,0.24,0.316,19.8359,0.30759,0.1758,10.76143,1.244745455,1.19526,0.167811111,0.061785714,0.494230769,0.239266667,0.087073333,0.237266667,0.035523077,10.624,3.443157923,15956.00008,1063.683091,4.63800001,186.6464815,331.3622228,66.34588242,787.6000015,20.985,7.67,1.843240164,0.012130034,2.372877244,2.179289026,13.91294933,0.363917526,0.000215791,0.427861287,2.376855137,1.093360513,5.212,16.16363333,0.218672103,7979.721619,418.3225242,395.1027023,3.342311641,6.773096667,2299.964865,4.218790285,1.643652838,0.579706068,1.778900902,0.365448097,0.511436381,0.296482773,0.017692145,8.175675656,0.836898952
IVUNA,CI1,Carbonaceous,28.155,0.055,2.26,14.175,17.8,0.165,1.045,0.575,0.085,0.255,0.415,21.17608889,0.244277778,0.21082,9.6442,1.031675,0.82314,0.53004,0.040566667,0.236845455,0.150038462,0.05655,0.172358333,0.02679,3.265714286,5.48E-08,9.08E-05,8.87E-06,5.43E-09,3.67E-08,10.10909156,1.70E-07,4.69E-06,19.01,18.38,2.195733072,0.009269663,0.796348315,2.162679426,8.840815773,0.376903358,0.000603523,0.427861287,4.64E-07,0.642582249,6.2925,19.52202963,0.12851645,4.54E-05,2.97E-06,3.369698807,3.00726375,7.210395556,1.263649529,4.212601042,0.669387065,0.632214527,1.051290482,0.351653677,0.880531665,0.55668491,0.023441662,5.00757575,0.752125338
COLD BOKKEVELD,CM2,Carbonaceous,31.62375,0.112857143,2.6275,24.22666667,21.23888889,0.27375,4.964444444,0.596666667,0.062857143,0.274285714,0.455714286,20.37420909,0.3100375,0.161325,11.15147143,1.192471429,1.1191125,0.3993625,0.055525,0.292909091,0.188727273,0.075118182,0.214818182,0.03151,3.16,3.616666672,28483.33335,90.71250057,0.244545467,10.91250005,563.8333335,105.55,208.0000026,22.03,8.16,1.827042218,0.012889092,1.140674863,0.529263653,9.295750267,0.398025048,0.000126975,0.427861287,0.368903345,0.803082727,7.707767857,16.85473636,0.160616545,14243.47501,33.95651536,292.4611121,3.465604464,6.948523864,3683.275363,4.345439306,1.189085012,0.671611965,1.32741303,0.373071622,0.695554021,0.467142403,0.020855332,11.51125149,0.644269231
NOGOYA,CM2,Carbonaceous,30.26,0.12,2.672,18.22875,17.79,1.1925,13.63875,0.7375,0.06,0.225,0.4125,20.34764,0.2839375,0.154761818,11.08216727,1.254290909,1.133830909,0.4295525,0.05932,0.300733333,0.1842,0.078213333,0.2082,0.032593333,3.355,6.970000022,20607.14294,145.6295242,0.425909092,13.93550003,27.80526354,6.191250014,774.3333358,22.32333333,8.97,1.836070463,0.06703204,1.024662732,0.195912382,9.226835754,0.42461093,0.000338232,0.427861287,27.8484444,0.80394,8.32196875,17.21365778,0.160788,10307.05647,53.3303111,269.4432831,3.474960398,6.928779773,2697.804215,4.343187614,0.895865565,0.587904825,1.093731021,0.399388557,0.840117994,0.493909422,0.026354924,20.45235107,0.672426966
MURCHISON,CM2,Carbonaceous,27.321,0.1138,2.5175,32.03625,16.81875,0.1625,1.32875,0.44125,0.0488,0.278,0.3225,21.39664375,0.316713333,0.17080625,11.93237692,1.280693333,1.181325,0.254614286,0.079827273,0.298846875,0.282313243,0.073493939,0.213852941,0.033109375,3.885538462,33.93923168,69422.79142,356.7579627,1.470842166,42.5246313,700.4396889,146.5345885,745.0202678,22.09666667,7.24,1.793158554,0.009661836,1.904793757,1.894637817,9.026050024,0.260327637,0.000488877,0.427861287,1.063646563,0.901616374,6.11456875,16.91110347,0.180323275,34728.36533,133.5844787,530.6648484,3.662252386,7.294721111,8931.184829,4.576625019,1.497255849,0.615597892,1.637314208,0.299108177,0.559226282,0.34425852,0.017936752,7.848688893,0.783157416
VIGARANO,CV3,Carbonaceous,32.93333333,0.151666667,3.653333333,30.755,21.98833333,0.225,2.583333333,0.586,0.065,0.266666667,0.4775,22.90515,0.3531466,0.140433,14.086775,1.890666667,1.836177778,0.272977778,0.102795143,0.4696625,0.294627273,0.107433333,0.318655556,0.04488,4.907,1.26E-07,0.0001401,2.43E-07,2.12E-08,4.75E-08,3.03E-07,5.97E-08,1.43E-05,23.1425,6.36,1.626003823,0.010232699,1.398696278,1.414193548,10.46485071,0.364641509,0.00090257,0.446315789,47.11972684,1.235258662,7.787625,17.46921667,0.247051732,7.01E-05,1.04E-07,4.87E-06,4.521649306,7.799576533,1.94E-05,5.198515246,1.342711137,0.667661943,1.441599854,0.350624153,0.624407508,0.41689313,0.019767206,9.580133114,0.695500506
